,index,event_id,date_of_event,household_id,person_id,event_type_id,event_counter,event_score,date_of_previous_event,created_by,timestamp_created,is_void,sync_id
68,68,4b685ea5-90f0-4aea-865a-5a0b0943974f,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,90453612-72dc-40e5-a607-c2ba22191b5a
69,69,ff87b816-f0c0-49aa-a969-c2584ba3f539,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,f12e2be5-628f-4443-b691-8631cc39545f
70,70,87720baf-42da-40fa-a06b-952d768cd89c,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,a263f139-82e3-47a2-93e2-0f521c283b6b
71,71,278ab171-d25d-4749-ac16-06de04f4a50c,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,3e919918-15e6-46a7-ab18-141a40318a43
72,72,058d7f24-a767-4d9a-83d6-018598d18f8a,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,aa7d27e2-e7a5-4a01-9d98-d7154d84cb94
73,73,f6945125-4a22-4272-9ace-9d4dd1c5198f,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,d53e4c40-208b-4a2a-bbdb-b99e258e7b75
74,74,d3b05bb6-d554-457d-9a60-28737c4a3c35,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,07f37168-0555-4b50-b3c8-9deffcdb7ca8
75,75,fbd08746-fb00-4ab5-b4fa-076d4d00e895,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,d3b5efc3-1a77-466e-85ce-8e4234b96d11
76,76,b62ec46a-3c80-488a-b158-60aec4fe4cd0,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,20d38fd6-4dcb-4720-9cca-f30cc7b668b2
77,77,acd958e2-3039-422c-9e51-28b8c89615ee,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,a1eda7b6-b6d4-48f3-9cc9-05ee00c437d9
78,78,c006f05e-6d52-4e04-a819-bdf5e6e2d42f,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1039848, , , , , , , ,ef8c4ae8-b726-487c-b451-a3cd28286117
79,79,e4e8703d-3d0e-4721-98b1-585dd5a4b219,2022-08-24,46c202aa-c943-4c77-8d38-0e7ba6ebb0bb,1044191, , , , , , , ,468c6619-5191-4e94-834f-154f81ff39e1
80,80,32cfee6c-dbda-4d75-986d-ce27968b2f8c,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1035969, , , , , , , ,d64bab59-1fdd-4d70-b8b8-dcd0bd9855a9
81,81,9282cd04-21f0-4826-81eb-dd19e8c43713,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,3369430, , , , , , , ,0fc6e295-f2fe-4aa9-83e4-4ed617d7ae40
82,82,f65f27fd-1b86-4cf4-a1a3-cc9bd109fc20,2022-12-04,99dd660f-5fa6-4922-a96d-386a6e4d3341,1044308, , , , , , , ,46f20152-d631-4f45-b890-caabefb45b14
